account_id,account_name,website_domain,industry,employee_count,segment,billing_country,region,annual_revenue_eur,created_date
001A000116,Deltatech Inc.,deltatech.net,Computer Software,470,Mid-Market,United States,North America,83943000.00,2022-05-31
001A000117,Strapath Inc.,strapath.net,Software & SaaS,7,Commercial,United States,North America,1088000.00,2022-11-17
001A000118,Nordlogic Partners S.A.,nordlogic.io,Financial Services,48,Commercial,Spain,EMEA - South,5709000.00,2023-07-01
001A000119,Boreaflow LLC,boreaflow.eu,Software & SaaS,7,Commercial,United States,North America,442000.00,2022-06-27
001A000120,Mosaline Inc.,mosaline.eu,Computer Software,335,Mid-Market,United States,North America,39516000.00,2022-04-13
001A000121,Briologic Digital LLC,briologic.eu,Consulting,11,Commercial,United States,North America,2874000.00,2023-06-23
001A000122,Bramgrid Partners GmbH,bramgrid.net,Professional Services,16,Commercial,Germany,EMEA - DACH,3624000.00,2023-04-25
001A000123,Runesys S.L.,runesys.eu,Software & SaaS,223,Commercial,Spain,EMEA - South,23309000.00,2021-11-20
001A000124,Stracore Digital AG,stracore.de,Agency,518,Mid-Market,Germany,EMEA - DACH,173369000.00,2022-05-10
001A000125,Mirabridge Oyj,mirabridge.io,Software & SaaS,80,Commercial,Finland,EMEA - North,17196000.00,2022-10-14
001A000126,Boreaflow Partners SA,boreaflow.co,E-commerce & Retail,243,Commercial,France,EMEA - South,60922000.00,2023-03-28
001A000127,Kestnet GmbH,kestnet.co,Energy & Utilities,231,Commercial,Austria,EMEA - DACH,21482000.00,2023-06-18
001A000128,Piragrid AG,piragrid.eu,Healthcare & Life Sciences,73,Commercial,Germany,EMEA - DACH,37419000.00,2023-06-26
001A000129,Nordwave Digital LLC,nordwave.com,Software & SaaS,20,Commercial,United States,North America,4638000.00,2021-10-26
001A000130,Wendlabs AG,wendlabs.com,E-commerce & Retail,241,Commercial,Switzerland,EMEA - DACH,105508000.00,2022-10-13
001A000131,Boreasys Pvt Ltd,boreasys.eu,Consulting,259,Mid-Market,India,APAC,30927000.00,2022-08-14
001A000132,Valiwave Corp.,valiwave.co,Banking,400,Mid-Market,United States,North America,23278000.00,2021-08-02
001A000133,Miralogic SA,miralogic.eu,Energy & Utilities,163,Commercial,France,EMEA - South,16135000.00,2022-04-15
001A000134,Bramfield Corp.,bramfield.co,E-commerce & Retail,18,Commercial,United States,North America,5869000.00,2022-05-30
001A000135,Granvik GmbH,granvik.eu,Software & SaaS,292,Mid-Market,Germany,EMEA - DACH,25884000.00,2023-06-12
001A000136,Bramcore Systems Pty Ltd,bramcore.io,Healthcare & Life Sciences,101,Commercial,Australia,APAC,43181000.00,2023-02-19
001A000137,Evodata Partners AB,evodata.co,Professional Services,49,Commercial,Sweden,EMEA - North,5543000.00,2023-11-04
001A000138,Mosapath Corp.,mosapath.net,Manufacturing,65,Commercial,United States,North America,14333000.00,2022-09-22
001A000139,Vexware SE,vexware.net,Public Sector,36,Commercial,Germany,EMEA - DACH,7241000.00,2023-04-30
001A000140,Haloflow AB,haloflow.com,Public Sector,397,Mid-Market,Sweden,EMEA - North,57588000.00,2022-12-03
001A000141,Altomark AB,altomark.com,Software & SaaS,13,Commercial,Sweden,EMEA - North,1893000.00,2022-12-16
001A000142,Opalfield Digital Pvt Ltd,opalfield.net,Software & SaaS,23,Commercial,India,APAC,2225000.00,2023-12-04
001A000143,Runevik LLC,runevik.co,Financial Services,62,Commercial,United States,North America,35090000.00,2022-10-05
001A000144,Junopath Partners AB,junopath.co,Consulting,1216,Mid-Market,Sweden,EMEA - North,289713000.00,2022-05-05
001A000145,Vexpath Solutions plc,vexpath.com,Professional Services,512,Mid-Market,United Kingdom,EMEA - UK&I,33732000.00,2022-01-08
001A000146,Valicore Digital SAS,valicore.com,Financial Services,10,Commercial,France,EMEA - South,774000.00,2023-07-01
001A000147,Ternpoint A/S,ternpoint.eu,,810,Mid-Market,Denmark,EMEA - North,194448000.00,2023-01-11
001A000148,Evotech S.r.l.,evotech.io,Financial Services,808,Mid-Market,Italy,EMEA - South,140108000.00,2022-09-08
001A000149,Yarapoint SE,yarapoint.eu,,18,Commercial,Germany,EMEA - DACH,1057000.00,2021-12-17
001A000150,Runecore Solutions LLC,runecore.eu,Logistics & Transport,4,Commercial,United States,North America,3202000.00,2023-10-30
001A000151,Veratech Pvt Ltd,veratech.net,Software & SaaS,91,Commercial,India,APAC,2979000.00,2022-10-14
001A000152,Lumofield Partners AG,lumofield.io,Financial Services,569,Mid-Market,Germany,EMEA - DACH,75187000.00,2022-01-20
001A000153,Straware Sp. z o.o.,straware.de,Software & SaaS,1174,Mid-Market,Poland,EMEA - North,207057000.00,2023-11-25
001A000154,Fjelstack SE,fjelstack.com,Public Sector,28,Commercial,Germany,EMEA - DACH,3243000.00,2023-12-17
001A000155,Altobridge Systems Inc.,altobridge.co,E-commerce & Retail,1506,Mid-Market,United States,North America,438166000.00,2023-10-15
001A000156,Fjelsys plc,fjelsys.co,Logistics & Transport,5,Commercial,United Kingdom,EMEA - UK&I,1186000.00,2023-03-18
001A000157,Grantech Corp.,grantech.com,Manufacturing,58,Commercial,United States,North America,11012000.00,2023-09-18
001A000158,Koramark LLC,koramark.net,,54,Commercial,United States,North America,9019000.00,2023-01-22
001A000159,Piralabs LLC,piralabs.co,Public Sector,596,Mid-Market,United States,North America,143449000.00,2023-04-08
001A000160,Ivenfield AG,ivenfield.de,Manufacturing,746,Mid-Market,Germany,EMEA - DACH,114710000.00,2022-02-05
001A000161,Cobalcore Pvt Ltd,cobalcore.eu,Media & Marketing,439,Mid-Market,India,APAC,30912000.00,2023-01-27
001A000162,Yaraline plc,yaraline.de,Ecommerce,14,Commercial,United Kingdom,EMEA - UK&I,4362000.00,2021-08-08
001A000163,Straline GmbH,straline.eu,Software & SaaS,381,Mid-Market,Germany,EMEA - DACH,189863000.00,2023-08-14
001A000164,Quarsys Sp. z o.o.,quarsys.eu,Software & SaaS,221,Commercial,Poland,EMEA - North,40542000.00,2023-07-13
001A000165,Xenowave N.V.,xenowave.eu,Software,9,Commercial,Netherlands,EMEA - North,1672000.00,2022-01-10
001A000166,Oriofield Ltd,oriofield.co,Media & Marketing,6,Commercial,Canada,North America,1024000.00,2023-08-29
001A000167,Fjelpath Corp.,fjelpath.io,E-commerce & Retail,499,Mid-Market,United States,North America,39470000.00,2023-01-29
001A000168,Quarbridge SA,quarbridge.io,Manufacturing,77,Commercial,France,EMEA - South,9694000.00,2022-06-21
001A000169,Vexgrid Pty Ltd,vexgrid.net,Software & SaaS,16,Commercial,Australia,APAC,4501000.00,2021-10-20
001A000170,Asterpath Ltd,asterpath.co,Professional Services,74,Commercial,Ireland,EMEA - UK&I,15043000.00,2023-06-20
001A000171,Granpath A/S,granpath.co,Logistics & Transport,177,Commercial,Denmark,EMEA - North,86546000.00,2023-04-28
001A000172,Solvwave Ltd,solvwave.de,Professional Services,89,Commercial,United Kingdom,EMEA - UK&I,24334000.00,2023-12-11
001A000173,Stratech Solutions Pvt Ltd,stratech.co,Energy & Utilities,11,Commercial,India,APAC,1505000.00,2023-01-01
001A000174,Asterware GmbH,asterware.com,Software & SaaS,1851,Mid-Market,Switzerland,EMEA - DACH,484817000.00,2023-06-07
001A000175,Evonet GmbH,evonet.co,Software & SaaS,474,Mid-Market,Germany,EMEA - DACH,73648000.00,2023-04-15
001A000176,Ivenstack S.A.,ivenstack.com,Manufacturing,61,Commercial,Spain,EMEA - South,3975000.00,2023-06-04
001A000177,Zephdata Digital K.K.,zephdata.co,Fintech,65,Commercial,Japan,APAC,21308000.00,2021-07-19
001A000178,Solvmark Holding Ltda,solvmark.co,Professional Services,176,Commercial,Brazil,LATAM,41785000.00,2022-08-23
001A000179,Ciramark LLC,ciramark.net,,19,Commercial,United States,North America,19432000.00,2022-10-08
001A000180,Quarlabs Ltda,quarlabs.com,Software & SaaS,166,Commercial,Brazil,LATAM,21074000.00,2022-11-22
001A000181,Xenomark Ltda,xenomark.net,Public Sector,15,Commercial,Brazil,LATAM,4082000.00,2022-07-23
001A000182,Junomark Digital ApS,junomark.eu,SaaS,91,Commercial,Denmark,EMEA - North,10225000.00,2023-03-07
001A000183,Xenopoint SA,xenopoint.eu,Consulting,18,Commercial,France,EMEA - South,1875000.00,2023-08-19
001A000184,Ivenflow Corp.,ivenflow.de,E-commerce & Retail,20,Commercial,United States,North America,14196000.00,2023-04-16
001A000185,Mosadata Corp.,mosadata.net,Professional Services,1277,Mid-Market,United States,North America,64912000.00,2023-03-19
001A000186,Cirabridge B.V.,cirabridge.com,Software & SaaS,111,Commercial,Netherlands,EMEA - North,18992000.00,2023-05-05
001A000187,Nordmark Digital SE,nordmark.de,Telecommunications,139,Commercial,Germany,EMEA - DACH,69044000.00,2023-08-22
001A000188,Fjelbridge Corp.,fjelbridge.net,Telecommunications,6,Commercial,United States,North America,415000.00,2021-11-17
001A000189,Valiwave plc,valiwave.co,Manufacturing,41,Commercial,United Kingdom,EMEA - UK&I,5270000.00,2022-12-08
001A000190,Oriogrid Digital Pvt Ltd,oriogrid.net,Manufacturing,205,Commercial,India,APAC,61638000.00,2022-11-13
001A000191,Oriobridge plc,oriobridge.co,Professional Services,136,Commercial,United Kingdom,EMEA - UK&I,11523000.00,2021-10-22
001A000192,Cobalfield GmbH,cobalfield.co,Healthcare & Life Sciences,6,Commercial,Germany,EMEA - DACH,1274000.00,2021-11-23
001A000193,Veraware Inc.,veraware.eu,Healthcare & Life Sciences,139,Commercial,Canada,North America,15077000.00,2023-05-24
001A000194,Xenomark GmbH,xenomark.eu,,178,Commercial,Austria,EMEA - DACH,69260000.00,2021-07-19
001A000195,Talaline GmbH,talaline.de,Logistics & Transport,730,Mid-Market,Switzerland,EMEA - DACH,278028000.00,2022-12-18
001A000196,Umbrastack LLC,umbrastack.co,Professional Services,38,Commercial,United States,North America,4966000.00,2022-10-12
001A000197,Boreabridge Ltda,boreabridge.de,Software & SaaS,5,Commercial,Brazil,LATAM,156000.00,2021-09-13
001A000198,Stralogic plc,stralogic.com,Public Sector,23,Commercial,United Kingdom,EMEA - UK&I,5462000.00,2021-09-18
001A000199,Bramflow SA,bramflow.com,Software & SaaS,20,Commercial,France,EMEA - South,6439000.00,2021-09-08
001A000200,Boreapoint LLC,boreapoint.co,Software & SaaS,314,Mid-Market,United States,North America,74955000.00,2023-07-28
001A000201,Halopoint Pty Ltd,halopoint.co,Energy & Utilities,3,Commercial,Australia,APAC,664000.00,2023-10-22
001A000202,Lumologic Oyj,lumologic.io,Software & SaaS,52,Commercial,Finland,EMEA - North,10620000.00,2023-03-29
001A000203,Opalware Solutions GmbH,opalware.de,Software & SaaS,909,Mid-Market,Austria,EMEA - DACH,128996000.00,2023-04-21
001A000204,Runelabs GmbH,runelabs.net,Healthcare & Life Sciences,103,Commercial,Germany,EMEA - DACH,11332000.00,2022-05-18
001A000205,Oriofield plc,oriofield.eu,Logistics & Transport,401,Mid-Market,United Kingdom,EMEA - UK&I,71292000.00,2023-08-10
001A000206,Verafield GmbH,verafield.de,Software & SaaS,10,Commercial,Germany,EMEA - DACH,1503000.00,2023-06-01
001A000207,Stramark Corp.,stramark.co,Manufacturing,10,Commercial,United States,North America,2607000.00,2022-01-13
001A000208,Runefield Partners GmbH,runefield.eu,Software & SaaS,925,Mid-Market,Germany,EMEA - DACH,95534000.00,2022-07-18
001A000209,Lyrabridge Group Oyj,lyrabridge.eu,E-commerce & Retail,118,Commercial,Finland,EMEA - North,15669000.00,2022-01-16
001A000210,Ivenvik Group Inc.,ivenvik.com,E-commerce & Retail,119,Commercial,United States,North America,21442000.00,2021-10-14
001A000211,Lumolabs LLC,lumolabs.io,Software & SaaS,20,Commercial,United States,North America,2168000.00,2021-09-11
001A000212,Junobridge Systems Ltd,junobridge.de,Telecommunications,118,Commercial,United Kingdom,EMEA - UK&I,8740000.00,2021-08-08
001A000213,Boreawave Digital Corp.,boreawave.net,Professional Services,19,Commercial,United States,North America,4767000.00,2022-05-05
001A000214,Koratech Corp.,koratech.com,Logistics & Transport,628,Mid-Market,United States,North America,48867000.00,2022-09-07
001A000215,Halovik Corp.,halovik.eu,Public Sector,6826,Enterprise,United States,North America,1300293000.00,2022-06-02
001A000216,Piralabs SE,piralabs.de,Telecommunications,213,Commercial,Germany,EMEA - DACH,49918000.00,2022-03-09
001A000217,Ivengrid SE,ivengrid.de,Media & Marketing,39,Commercial,Germany,EMEA - DACH,15571000.00,2021-11-07
001A000218,Piralabs Pvt Ltd,piralabs.co,Financial Services,4,Commercial,India,APAC,2715000.00,2022-07-08
001A000219,Stradata B.V.,stradata.io,Logistics & Transport,9,Commercial,Netherlands,EMEA - North,3375000.00,2022-07-26
001A000220,Wendcore Ltd,wendcore.co,Healthcare & Life Sciences,1110,Mid-Market,Ireland,EMEA - UK&I,123516000.00,2022-12-20
001A000221,Ternnet Systems AB,ternnet.de,Financial Services,22,Commercial,Sweden,EMEA - North,3129000.00,2021-12-30
001A000222,Umbragrid LLC,umbragrid.de,E-commerce & Retail,58,Commercial,United States,North America,11817000.00,2023-02-15
001A000223,Granworks Pty Ltd,granworks.com,Financial Services,277,Mid-Market,Australia,APAC,45360000.00,2023-02-27
001A000224,Koracore plc,koracore.com,Manufacturing,992,Mid-Market,United Kingdom,EMEA - UK&I,184835000.00,2022-06-28
001A000225,Opalpath Pvt Ltd,opalpath.io,Media & Marketing,75,Commercial,India,APAC,26912000.00,2022-06-11
001A000226,Piracore Holding AG,piracore.co,Manufacturing,55,Commercial,Germany,EMEA - DACH,10091000.00,2023-02-24
001A000227,Junoworks Sp. z o.o.,junoworks.de,Financial Services,113,Commercial,Poland,EMEA - North,33194000.00,2023-12-22
001A000228,Altotech Corp.,altotech.com,Software,40,Commercial,United States,North America,3442000.00,2022-02-26
